user,tanggal,bahasa,isi,polarity,sentiment
48314016,2022-03-20 10:59:53+00:00,in,RT 2211 Moto GP Mandalika sukses membuat Indonesia bangga amp menjadi sorotan dunia Kadrun amp oposisi bejat tdk suka Prestasi ini d,0.0,netral
192255541,2022-03-20 10:59:52+00:00,ja,w F1 motoGP,0.0,netral
299000757,2022-03-20 10:59:51+00:00,tl,Iloveyou lord Rara,0.0,netral
1460635615578374146,2022-03-20 10:59:51+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 158,0.0,netral
340759437,2022-03-20 10:59:51+00:00,in,Hak siar MotoGP di TV berbayar dipegang sama Indonesia sdgkn hanya di TV terestrial UHF,0.0,netral
3229983116,2022-03-20 10:59:51+00:00,in,RT Ada yg posting Anies datang ga ke Mandalika disertai kalimat ngenye Lalu dijwb dgn video ini Lalu mrk masih juga me,0.0,netral
1460635615578374146,2022-03-20 10:59:51+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 157,0.0,netral
1460635615578374146,2022-03-20 10:59:51+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 156,0.0,netral
1471842429049339905,2022-03-20 10:59:50+00:00,in,RT inilah Indonesia ragam budaya dan doa mohon pada Tuhan untuk redakan hujan Mandalika motor GP Nyatanya hujan reda d,0.0,netral
2878174530,2022-03-20 10:59:50+00:00,und,nan,0.0,netral
1302567027832487938,2022-03-20 10:59:50+00:00,en,Let s Goo moliveira88,0.0,netral
4843529163,2022-03-20 10:59:50+00:00,it,MotoGP GPIndonesia Marquez Uno degli incidenti pi brutti che abbia mai avuto,0.0,netral
1380009631372640258,2022-03-20 10:59:50+00:00,in,RT Menjelang puncak balapan MotoGP 2022 di Sirkuit Mandalika sesaat lagi,0.0,netral
1149091867595722753,2022-03-20 10:59:49+00:00,in,RT Perdana18 Setelah 25 tahun Rossi pensiun Marc Marquez 93 gagal race hujan delay pawang hujan race MotoGP akhirnya selesai jug,0.0,netral
892000443861225472,2022-03-20 10:59:49+00:00,en,RT MotoGP RACE moliveira88 IS THE MAN IN MANDALIKA IndonesianGP,0.0,netral
1316360715511316485,2022-03-20 10:59:48+00:00,in,lg nunggu berita marc marquez jatuh terus di mandalika begini tanggapan lesti,0.0,netral
42334728,2022-03-20 10:59:48+00:00,in,RT Miguel Oliviera usai dapat podium di MotoGP Mandalika Saya berikan trofi ini untuk anak perempuan saya saya berjanj,0.0,netral
1433112048628482049,2022-03-20 10:59:47+00:00,in,Harusnya yg di panggil ke Mandalika Avatar sesungguhnya bukan kw kw Pengendali angin hujan dan petir,0.0,netral
90326589,2022-03-20 10:59:47+00:00,in,Silalahi Sukses sukses sukses mandalika sukses di gelar,0.0,netral
462046176,2022-03-20 10:59:47+00:00,in,Gue sih bangga Bangga banget,0.0,netral
2329415510,2022-03-20 10:59:47+00:00,en,Thor,0.0,netral
2245990644,2022-03-20 10:59:46+00:00,in,Simon ini sapa sih Dr kemaren twitnya kek mau memberitakan mandalika gp ini gagal minta di serang nih bule,0.0,netral
1490870715821670401,2022-03-20 10:59:46+00:00,in,no jangan menormalisasi kebodohan jangan mimpi mau jadi negara maju kalo masih percaya dengan klenik dan perdukunan wkwk,0.0,netral
117696292,2022-03-20 10:59:45+00:00,in,RT para rider Moto GP terpantau melewati jalan pintas di Sirkuit Mandalika,0.0,netral
66965002,2022-03-20 10:59:45+00:00,in,RT 8002 Kadrun nyinyir ada ritual pawang hujan di Moto GP Mandalika Padahal dulu era SBY tiap kunjungan ke daerah ini pleciden l,0.0,netral
327084900,2022-03-20 10:59:45+00:00,in,RT MotoGP Mandalika menjawab pertanyaan Ibu Megawati bahwa ga seMUa Ibu Ibu di Indonesia itu kerjaannya cuma menggoreng ada j,0.0,netral
866986080418938880,2022-03-20 10:59:44+00:00,in,Jaya9 Mungkin itu salah satu syarat dari pengelola mandalika supaya Anggaran pawangnya terbukti berkerja,0.0,netral
873888717731016704,2022-03-20 10:59:43+00:00,en,MotoGP tolol,0.0,netral
1333787814069039108,2022-03-20 10:59:43+00:00,in,Pagelaran motoGP sukses digelar tanpa kendala berarti semua ini atas kerja keras pakde Jokowi NKRI jadi terkenal di dunia i Jokowi NKRIDeathRice Euforia kolam empang today,0.0,netral
899597703058817024,2022-03-20 10:59:43+00:00,in,dumdum yanto Semoga seusai perhelatan MotoGP Mandalika menjadi destinasi wisata yg memberi manfaat untuk warga NTB,0.0,netral
1018023895922761729,2022-03-20 10:59:43+00:00,in,Ketinggalan berita looo redaksi Tempo Mandalika Motogp sukses besar hotel penuh semua warga NTB semua senang fulus datang luar biasa Pak kerennnn,0.0,netral
1474173257142005768,2022-03-20 10:59:43+00:00,in,Klo sampai itu ujan beneran berhenti seketika Jangan heran sehabis pagelaran MotoGP Marquez balik belajar jadi pawang hujan,0.0,netral
105694720,2022-03-20 10:59:43+00:00,in,Congrats teman sejawat,0.0,netral
470325841,2022-03-20 10:59:42+00:00,in,hayukk tahun depan ke mandalika,0.0,netral
482816845,2022-03-20 10:59:42+00:00,in,RT RISMAN karyawan hotel yg disebut kebaikannya oleh sang juara di Sirkuit Mandalika setelah ini pasti akan diuber2 Media,0.0,netral
619877668,2022-03-20 10:59:41+00:00,in,RT Pantes Rossi nggak ke Mandalika,0.0,netral
1238647347610935296,2022-03-20 10:59:41+00:00,in,alhamdulilah terlepas apapun ya,0.0,netral
2311574922,2022-03-20 10:59:41+00:00,in,RT Race Director MotoGP Loris Capirossi takjub dan terkejut melihat kepiawaian pawang hujan di Sirkuit Mandalika,0.0,netral
548975987,2022-03-20 10:59:40+00:00,en,P2 What a day,0.0,netral
1460635615578374146,2022-03-20 10:59:40+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 155,0.0,netral
2359406772,2022-03-20 10:59:40+00:00,in,Belum balapan aja udah ngeri duluan IndonesianGP,0.0,netral
313192451,2022-03-20 10:59:40+00:00,en,Huge crowds turn out for funeral of Israeli ultra Orthodox rabbi PasigLaban IndonesianGP MotoGP,0.10000000000000003,positif
1460635615578374146,2022-03-20 10:59:40+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 154,0.0,netral
790616377,2022-03-20 10:59:40+00:00,in,KADRUN mah sirik bukan malu malu karena bokek nggak bisa nonton ke MANDALIKA seluruh dunia punya BUDAYA DAN CARA HIDUP MASING MASING kenapa MALU KADRUN aja KENCING SEMBARANGAN DAN SHOLAT TENGAH JALAN nggak malu,0.0,netral
1657205330,2022-03-20 10:59:39+00:00,in,MotoGP Mandalika Alhamdulillah lancar Kita Akan di sugguhkan Kembali oleh Formula E di Jakarta Indonesia hebat Sirkuit Formula E Sirkuit MotoGP,0.0,netral
61046197,2022-03-20 10:59:38+00:00,en,BabyBali Token BB REAL PROJECT TOURISM SECTOR SC 0x16f9cc3c6F8d8006cfc0ee693CeF9D76b0d44C36 Why choose BB Crypto Real Project amp Utility Real Discount Hotel Cafe Etc Doxxed Dev Safu Website babybalibsc BabyBaliArmy,0.20000000000000004,positif
78909305,2022-03-20 10:59:38+00:00,in,RT Untuk Risman Rider KTM Miguel Oliveira mendedikasikan kemenangan MotoGP Mandalika 2022 untuk staf hotel Risman Oliveira,0.0,netral
1005337620,2022-03-20 10:59:38+00:00,in,RT macho Ini bukti hasil karya jkw yg ruaaar binasaaah nama Indonesia terkenal didunia krn mandalika,0.0,netral
322368244,2022-03-20 10:59:37+00:00,in,RT Pembalap Red Bull KTM Miguel Oliveira memenangi MotoGP Mandalika 2022 Di belakangnya ada duo Perancis Fabio Quartararo da,0.0,netral
924887740847501312,2022-03-20 10:59:37+00:00,en,i have no words,0.0,netral
1433424494350143496,2022-03-20 10:59:37+00:00,in,Beneran berhenti gak ujannya,0.0,netral
2949895302,2022-03-20 10:59:37+00:00,en,RT Genuinely amazed the race went ahead after seeing this based on what we saw at WSB There might be issues at Mandalika but dr,0.4,positif
1189554237622980608,2022-03-20 10:59:36+00:00,in,Sorry bukan black magic ya si pawang hujan ini juga bertuhan dia berhasil melakukan ritual atas ijin tuhan,-0.055555555555555546,negatif
165741578,2022-03-20 10:59:36+00:00,in,Koncoku akeh seng budal ndek Mandalika ternyata arek sastra ae seng ketok enek 3 Seng gak sastra 2 Gaya koncon konco iki,0.0,netral
3036461880,2022-03-20 10:59:36+00:00,in,RT Balapan yg cukup liar di Mandalika Terlepas kurang dan lebihnya ikut bangga Indonesia bisa menggelar event dunia se,0.0,netral
1280561499191140352,2022-03-20 10:59:36+00:00,in,apa cuma gue yang mikir ini mirip the medium,0.0,netral
2500346192,2022-03-20 10:59:36+00:00,in,RT Sirkuit Mandalika menjadi tuan rumah ajang balap motor MotoGP 2022 Menteri BUMN mengeklaim event tsb berhas,0.0,netral
1436695983409156097,2022-03-20 10:59:35+00:00,ht,ar Fans madrid pasti,0.0,netral
550919720,2022-03-20 10:59:35+00:00,en,RT team Tough IndonesianGP for at wet Mandalika,-0.24444444444444446,negatif
1647376118,2022-03-20 10:59:34+00:00,tl,haha,0.2,positif
1220763340001050629,2022-03-20 10:59:34+00:00,in,Ibu ibu apakah kegiatannya hanya menggoreng saja Ibu ibu,0.0,netral
249539422,2022-03-20 10:59:33+00:00,in,Saya rekomendasikan pakai pawang yg di pakai MotoGP Mandalika,0.0,netral
944551919514615809,2022-03-20 10:59:33+00:00,in,RT Ngapapa rakyat bodoh yang penting Jokowi kesohor Uang Negara Rp 2 5 T Demi MotoGP Mandalika Setara Beasiswa 200 Ribu Mah,0.0,netral
1380009631372640258,2022-03-20 10:59:33+00:00,in,RT MotoGP Mandalika Diguyur Hujan Pawang Hujan Istiati Masuk Sirkuit,0.0,netral
39677695,2022-03-20 10:59:32+00:00,in,Suasana hari ke 3 Pertamina Grand Prix of Indonesia di Sirkuit Mandalika Lombok Tengah Nusa Tenggara Barat Minggu 20 Maret 2022 Berikut GNFI sajikan potret langsung dari Pertamina Mandalika International Street Circuit Foto Febriansyah TP GNFI MotoGP,0.25,positif
2917435673,2022-03-20 10:59:32+00:00,in,RT Kata Koloni Gurun Motogp Mandalika sepi tapiii junjungannya gabener malah nonton,0.0,netral
1460635615578374146,2022-03-20 10:59:31+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 153,0.0,netral
1357026613255417858,2022-03-20 10:59:31+00:00,en,pedroacosta Racing KTM Ajo es Great recovery and ride today bro OnwardsAndUpwards,0.8,positif
1292409966997905408,2022-03-20 10:59:30+00:00,it,RT MotoGP fulmine in pista e danza della pioggia cose mai viste a Mandalika SkyMotori SkyMotoGP MotoGP IndonesianGP,0.0,netral
123610878,2022-03-20 10:59:30+00:00,in,RT Siapa nih yang kemaren2 bilang MotoGP sepi Lah penuh gitu,0.0,netral
1059209822,2022-03-20 10:59:30+00:00,in,indo Nah ini yang gua pengin selama ini Triple Header di MotoGP terutama Asia itu Australia Jepang amp Malaysia Siapa tau kalau dapet kontrak jangka panjang Triple Header nya diganti Mandalika Sepang amp Buriram Apalagi ketiga sirkuit dalam satu region yang sama,0.0,netral
336456822,2022-03-20 10:59:30+00:00,en,RT shin awww how sweet he is this is why i adore him so much bahkan dia thanks to staff hotel di mandalika pak Risman beneran,0.2875,positif
1149091867595722753,2022-03-20 10:59:29+00:00,in,RT Marc Marquez Terpelanting di Tikungan 7 Sirkuit Mandalika,0.0,netral
1307315692186644481,2022-03-20 10:59:29+00:00,in,WKWKWKWK,0.0,netral
472728213,2022-03-20 10:59:28+00:00,en,RT Because we have to buy banyak tiket not only for seat Pesawat if we far from mandalika for transport lain jika per,0.05,positif
1091893710,2022-03-20 10:59:28+00:00,in,Gak bisa di Mandalika Tp kabarnya Sirkuit F1 bakal dibuat di Bintan,0.0,netral
1490870715821670401,2022-03-20 10:59:28+00:00,in,jangan menormalisasi kebodohan jangan mimpi mau jadi negara maju kalo masih percaya dengan klenik dan perdukunan wkwk,0.0,netral
2400838861,2022-03-20 10:59:28+00:00,in,RT Mbok Rara Isti Wulandari pawang hujan dan Mas Risman kolega juara MotoGP Mandalika bakal menghiasi TV Cetak dan You,0.0,netral
791921189710991361,2022-03-20 10:59:28+00:00,en,RT Thor landing in wakanda Thor landing in Mandalika Marv,0.0,netral
887302965907685377,2022-03-20 10:59:28+00:00,en,True,0.35,positif
1460635615578374146,2022-03-20 10:59:27+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 152,0.0,netral
970975997347672064,2022-03-20 10:59:27+00:00,en,RT How did the King of Mandalika earn his crown Take a look at moliveira88 s incredible launch from lights out that sent him,0.9,positif
1044876834247200769,2022-03-20 10:59:27+00:00,in,RT Teman2 harus tau bahwa MotorGP Mandalika ini membuka peluang pariwisata untuk daerah2 di sekitarannya juga kritik b,0.0,netral
1477895682048462848,2022-03-20 10:59:27+00:00,in,RT Total Marquez jatoh 4x di Mandalika Kasihan mana nggak punya BPJS,0.0,netral
1259837449804578820,2022-03-20 10:59:27+00:00,in,RT Petir Mandalika Pawang hujan gimana ini,0.0,netral
1321818014648422401,2022-03-20 10:59:26+00:00,in,RT Ketika langit sedang gelap dan hujan sedang turun lebat Pawang Hujan ini seketika sukses membuat matahari keluar dan dunia,0.0,netral
360659082,2022-03-20 10:59:26+00:00,fr,MotoGP Oliveira mu Quartararo heureux Les r actions des pilotes apr s le GP d Indon sie,0.0,netral
1169683855730544640,2022-03-20 10:59:26+00:00,in,Tarahu3 rara pawang mandalika yamaha honda MotoGP MotoGP2022,0.0,netral
61506473,2022-03-20 10:59:26+00:00,in,Rame uga yg like karna di like akun motogp,0.0,netral
71441165,2022-03-20 10:59:26+00:00,in,RT Pawang hingga teknologi sudah dicoba untuk mengatur cuaca di kawasan Sirkuit Mandalika agar tidak hujan Namun semua upaya it,0.0,netral
1015404417292517376,2022-03-20 10:59:26+00:00,in,Coba Tanya dia nonton MotoGP berapa Kali,0.0,netral
1474871724030132225,2022-03-20 10:59:26+00:00,en,OMG what a horrible track,-1.0,
1476562125573156864,2022-03-20 10:59:25+00:00,in,Wqwq ini bisaaa jugaaaa,0.0,netral
963269429671870464,2022-03-20 10:59:25+00:00,in,RT indo 1 Trek lurus terlalu pendek 2 Tikungan mayoritas medium cepat Kombinasi sempurna untuk membuat balapan F1 super me,0.3333333333333333,positif
1096329470485553157,2022-03-20 10:59:25+00:00,es,Punten,0.0,netral
1284213338021322752,2022-03-20 10:59:24+00:00,in,Alhamdulillah Mandalika GP sukses Selanjutnya kita sambut event dunia berikutnya FORMULA E ANCOL INTERNASIONAL CIRCUIT,0.0,netral
1485269476262445056,2022-03-20 10:59:23+00:00,in,RT Petir di Mandalika IndonesiaGP,0.0,netral
568766884,2022-03-20 10:59:22+00:00,in,ini sih bener yakali nginep di gili trawangan terus nonton acaranya di mandalika lombok ujung selatan deket pantai kuta sana,0.0,netral
1320983729821548544,2022-03-20 10:59:22+00:00,in,keren deh ini aku banget cita citaku jadi juri motogp,0.0,netral
1137535965801603072,2022-03-20 10:59:22+00:00,in,Udh pesimis pas tenggelam dari 1 ke 5 krn depannya ducati Ternyata masih bisa naik lagi ke 2 bro Dan kyknya kalo lap nya normal bang taro bisa balik mimpin Congrats,0.15,positif
1460635615578374146,2022-03-20 10:59:22+00:00,in,Tbk XL Axiata Bersama Juara di Mandalika JadiLebihBaik JuaradiMandalika 2 151,0.0,netral
1134369555579490304,2022-03-20 10:59:21+00:00,in,Menda laa kau percaya pawang tu yang berhentikan hujan,0.0,netral
556221987,2022-03-20 10:59:21+00:00,in,Pembodohan,0.0,netral
192946560,2022-03-20 10:59:21+00:00,en,I do like my country,0.0,netral
1128282246018764800,2022-03-20 10:59:21+00:00,in,RT Presiden memberikan piala kepada pemenang MotoGP Mandalika 2022 Miguel Oliveira Fabio Quartararo Johann Zar,0.0,netral
161490509,2022-03-20 10:59:20+00:00,und,MVP,0.0,netral
1249352392954368001,2022-03-20 10:59:20+00:00,in,RT Presiden Jokowi naik ke podium Sirkuit Mandalika Serahkan trofi ke moliveira88 juara MotoGP Mandalika 2022 Thank you,0.0,netral
748892598144684033,2022-03-20 10:59:20+00:00,in,Kemenangan Miguel Oliveira di GP Indonesia Mandalika untuk Orang Indoneisa Bernama Risman Siapa Dia,0.0,netral
461917791,2022-03-20 10:59:19+00:00,in,Sore ini abis nonton nyempatin nyantai sore di caffe teluk mendale takengon,0.0,netral
423388122,2022-03-20 10:59:19+00:00,ja,Redbull motoGP HONDA DUCATI KTM,0.0,netral
1443411802616852485,2022-03-20 10:59:19+00:00,in,Bs di pake di hajatan gak,0.0,netral
17128975,2022-03-20 10:59:18+00:00,in,MotoGP Soal Pawang Hujan MotoGP Mandalika Berhasil,0.0,netral
1457343300621385728,2022-03-20 10:59:18+00:00,en,RT ayoe Thank you Bu Rara the rain handler thank you weather for supporting Mandalika MotoGP rara pawanghujan pawang,0.25,positif
1159689173340585984,2022-03-20 10:59:18+00:00,in,RT AnakKolong Maaf gk bisa bantu ya Lagian Amin juga gk tau kan dia sdng ke Mandalika nonton MotoGP,0.0,netral
1193370141511208965,2022-03-20 10:59:17+00:00,in,Terlepas dari ribut soal musyrik yang penting it worked Haha,0.2,positif
1163958694226190336,2022-03-20 10:59:17+00:00,in,Namanya jg balapan jgnkan motoGP sekelas Road Race aja kecelakaan Narasi bodoh,0.0,netral
1504645330167427072,2022-03-20 10:59:17+00:00,in,Ketika cintamu tidak bertepuk sebelah tangan Maseee,0.0,netral
1887150434,2022-03-20 10:59:17+00:00,in,polemik pawang hujan di Gelaran Moto GP Mandalika Lombok,0.0,netral
71441165,2022-03-20 10:59:17+00:00,in,RT Aksi pawang hujan MotoGP Mandalika jadi sorotan Begini nih aksinya,0.0,netral
1933474662,2022-03-20 10:59:17+00:00,in,lesti menangis tersedu mengetahui marquez gagal tampil di Mandalika,0.0,netral
1432436832,2022-03-20 10:59:16+00:00,en,RT A rain shaman hired to guarantee good weather in the run up to and during Sunday s MotoGP race in Indonesia s Central L,0.35,positif
3313236517,2022-03-20 10:59:16+00:00,in,RT Juara dunia MotoGP delapan kali dipastikan tidak akan mengikuti balap seri kedua 2022 di Mandalika International Stree,0.0,netral
3042351832,2022-03-20 10:59:15+00:00,en,Inside your leathers Wow,0.1,positif
482677047,2022-03-20 10:59:15+00:00,in,Pawang ujannya di Mandalika panas bangetnya seIndonesia,0.0,netral
614302721,2022-03-20 10:59:15+00:00,in,RT Pawang hujan menurut Ust Basalamah Rara Memalukaan Mandalika Petir,0.0,netral
1238703614786285568,2022-03-20 10:59:15+00:00,in,RT Perdana18 Marc Marquez gagal race krn kecelakaan saat warm up Rossi uda keburu pensiun cuaca di Mandalika berubah ubah lap race d,0.6,positif
443444749,2022-03-20 10:59:13+00:00,in,RT id Miguel Oliveira dari Portugal juara IndonesianGP MotoGP Mandalika Bangsa Eropa pertama yang datang ke Nusantara adala,0.0,netral
109831982,2022-03-20 10:59:13+00:00,in,RT Yang masih rendah di Lombok Timur sama Gili Trawangan Dari Gili Trawangan ke Mandalika itu harus nyeberang pulau plus,0.0,netral
415976875,2022-03-20 10:59:12+00:00,in,RT Sedih aku nggak diajak ke Mandalika nonton balapan Mungkin nanti cocoknya sama aku pas ada balapan siapa paling terluka,0.0,netral
1334645794121478144,2022-03-20 10:59:10+00:00,in,RT Yah dengan segala hal baik buruk unik lucu norak dll dari MotoGP Mandalika ini niscaya race ini jadi membekas,0.0,netral
1448550253674655745,2022-03-20 10:59:10+00:00,in,RT Halo Indonesia Semangat pagi indonesia mandalika,0.0,netral
131265092,2022-03-20 10:59:10+00:00,en,Amazing ride keep pushing,0.6000000000000001,positif
1269090305438912512,2022-03-20 10:59:09+00:00,in,RT Bahan ribut warganet harga tiket Mandalika penonton MotoGP kosong pawang hujan pebalap pada ngegas iya lah nikah be,0.0,netral
153969086,2022-03-20 10:59:09+00:00,in,Efek abis perhelatan mewah IndonesianGP 2022 Penonton mencari cari untuk ketempat parkir karena mobil pribadi tidak boleh masuk dan panitia serta bus feeder hilang bule pun jd korban naik mobil bak terbuka MotoGPMandalika MotoGP tvone elshinta detik,0.0,netral
1317372328095879169,2022-03-20 10:59:09+00:00,in,Menghibur,0.0,netral
422005231,2022-03-20 10:59:08+00:00,ca,RT Anyone wants a souvenir from the IndonesianGP Pieces of asphalt from the track Alguien quiere un souvenir de Mandalik,0.2,positif
2904777306,2022-03-20 10:59:08+00:00,in,RT Mau se jago apapun Rossi amp Marquez di arena MotoGP kalau sdh liat cuaca spti ini pasti keder jg Apalagi para pengge,0.0,netral
210842691,2022-03-20 10:59:08+00:00,in,Bukan menghakimi mestinya kalian malu Bapak Erick Tohir tidak minta pemuka agama kalian buat cegah hujan Berarti tuhan kalian kalah kuat,0.0,netral
1180147081794580480,2022-03-20 10:59:08+00:00,in,Prov kadal minyak goreng gak pokok buat gue punya duit yg penting lu makan lebih higienis masih fokus migor aja wkwkkwkw,0.0,netral
1146256276621389824,2022-03-20 10:59:08+00:00,it,RT Podium di race MotoGP Mandalika 1 Miguel Oliveira 2 Fabio Quartararo 3 Johann Zarco IndonesianGP,0.0,netral
62984746,2022-03-20 10:59:08+00:00,en,After this this lady will be part of Dorna to travel around the world to control rain shaman mandalika,0.0,netral
1495789370149724162,2022-03-20 10:59:07+00:00,in,Yg lain sibuk ttg pawang hujan di motogp aku sibuk ikutin giveaway,0.0,netral
936937064,2022-03-20 10:59:07+00:00,in,RT Start MotoGP Mandalika ditunda hingga hujan reda Pawang hujan be lyke Penonton teriak In do ne sia Video akun I,0.0,netral
71758649,2022-03-20 10:59:07+00:00,en,Racing moliveira88 Congratulations on your perfect victory moliveira88,1.0,positif
1498012160147869699,2022-03-20 10:59:07+00:00,in,WKWKKW ini yg dri tdi gua ketawain ternyata di post motoGP,0.0,netral
1403787121530327041,2022-03-20 10:59:07+00:00,in,RT Ritual Pawang Hujan Gak Mempan Balapan MotoGP Mandalika Ditunda Akibat Sirkuit Diguyur Hujan Deras,0.0,netral
93181128,2022-03-20 10:59:07+00:00,in,Ponakan w pas nonton MotoGP Kameranya burik banget Gegara ujan ya Anjir ngakaklah gw kosakatanya burik,0.0,netral
1267105100251705346,2022-03-20 10:59:06+00:00,fr,MotoGP l effrayant accident de Marc Marquez en Indon sie Transport l h pital le pilote espagnol souffre d un traumatisme cr nien,0.0,netral
960662868684292096,2022-03-20 10:59:05+00:00,in,Auu dukun di mainin ga ada kerjaan aja nih baliho di sembah Liat aja nanti pormula E bakalan lebih dari mandalika Siap putihkan pormula E,0.0,netral
1466513994114641920,2022-03-20 10:59:04+00:00,in,Arabia Yang bikin hujan reda itu Tuhan boss di tempat gw juga sempet hujan dan durasi hujan nya hampir sama kaya di Mandalika tapi tempat gw gak ada pawang,0.0,netral
1242970764891942912,2022-03-20 10:59:03+00:00,in,RT gak percaya pawang hujan tapi percaya tuhan padahal sama sama gak bisa dibuktikan sains emg org indo standar ganda,0.0,netral
989389549192167424,2022-03-20 10:59:03+00:00,in,Ada yg bilang katanya penonton motogp pertamina mandalika di lobok sepi ngak ada penonton betul ngak sih RoySuryo trus yg nonton setan semua ya pak,0.0,netral
1417079987614588931,2022-03-20 10:59:02+00:00,in,RT Moto GP Mandalika semoga lancar dan sukses Formula E Jakarta semoga lancar dan sukses Jangan pernah menarik kedua event i,0.0,netral
1238253302757785600,2022-03-20 10:59:02+00:00,in,Indonesia memang beda Mantap,0.0,netral
